Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,New Zealand,NZL,91954461408,1.24551E+11,1.65067E+11,1.68764E+11,1.732E+11,1.7948E+11,1.85975E+11,1.92815E+11,1.98913E+11,2.05112E+11,2.10878E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Nicaragua,NIC,14416238951,20119656726,28556304179,30411535099,31909642306,33436994937,35039314715,36638133280,38334779853,36820608258,35392319355,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Niger,NER,9029292541,10576271393,17474125672,19317461504,20344209819,21695500036,22648507165,23941572538,25138435012,26953222042,28544214620,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Nigeria,NGA,3.10359E+11,3.64044E+11,8.23288E+11,8.58113E+11,9.15361E+11,9.73118E+11,9.98931E+11,9.8278E+11,9.907E+11,1.00975E+12,1.03205E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,North Macedonia,MKD,22537652338,20558610283,28203447161,28074787767,28896047648,29944720907,31099348962,31985122234,32331128567,33268731295,34333330697,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Norway,NOR,1.75624E+11,2.5211E+11,2.97666E+11,3.05713E+11,3.08874E+11,3.14957E+11,3.21153E+11,3.24594E+11,3.32135E+11,3.36419E+11,3.40303E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Oman,OMN,48136709337,76760622472,1.05755E+11,1.15321E+11,1.21208E+11,1.22976E+11,1.2867E+11,1.35228E+11,1.35697E+11,1.3809E+11,1.35814E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Pakistan,PAK,3.13891E+11,4.61959E+11,7.20256E+11,7.45515E+11,7.78291E+11,8.14674E+11,8.53218E+11,9.00373E+11,9.50382E+11,1.00585E+12,1.0158E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Palau,PLW,..,259764268.9,288731334.9,293560662.7,283616834.2,301467244.9,324195070.9,323924809.8,317717242.8,330613020.7,316570912.2,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Panama,PAN,26508346014,43971701075,86559396144,95023956349,1.01584E+11,1.06731E+11,1.12849E+11,1.18439E+11,1.25071E+11,1.29688E+11,1.33587E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Papua New Guinea,PNG,11246937088,16803929367,25199728960,26373310486,27382075440,31090640930,33135894099,34954913218,36190433385,36089370754,38218643628,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Paraguay,PRY,35790081062,45399831807,67774526964,67409552364,73083748256,76636269137,78996952853,82404016358,86486123430,89388746621,89362006520,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Peru,PER,1.15857E+11,1.69938E+11,3.10695E+11,3.2977E+11,3.4907E+11,3.57386E+11,3.69009E+11,3.83597E+11,3.93259E+11,4.08899E+11,4.17691E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Philippines,PHL,2.61927E+11,3.47356E+11,5.77587E+11,6.17423E+11,6.59103E+11,7.00942E+11,7.4544E+11,7.98735E+11,8.54095E+11,9.08258E+11,9.63122E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Poland,POL,4.32593E+11,6.23973E+11,9.59352E+11,9.72062E+11,9.83005E+11,1.01622E+12,1.05927E+12,1.09255E+12,1.14532E+12,1.20664E+12,1.26143E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Portugal,PRT,2.35468E+11,3.13031E+11,3.30916E+11,3.1749E+11,3.14561E+11,3.17053E+11,3.22734E+11,3.29252E+11,3.40797E+11,3.50507E+11,3.58344E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Puerto Rico,PRI,76384976167,1.14793E+11,1.22224E+11,1.2226E+11,1.21885E+11,1.20434E+11,1.1917E+11,1.17665E+11,1.14269E+11,1.08945E+11,1.10239E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Qatar,QAT,..,51287677760,2.0185E+11,2.11398E+11,2.23143E+11,2.35046E+11,2.46219E+11,2.53763E+11,2.49963E+11,2.5305E+11,2.5501E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Romania,ROU,3.09185E+11,2.72253E+11,4.19648E+11,4.28212E+11,4.4436E+11,4.60395E+11,4.73994E+11,4.96286E+11,5.32611E+11,5.56443E+11,5.7955E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Russian Federation,RUS,3.18854E+12,2.14246E+12,3.58098E+12,3.72508E+12,3.79048E+12,3.81838E+12,3.74306E+12,3.75031E+12,3.81878E+12,3.91564E+12,3.96818E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Rwanda,RWA,6827017900,6883388227,16335120522,17746719989,18584339297,19730466482,21477963189,22760357451,23665375199,25695728207,28118494966,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Samoa,WSM,660659919.7,839643888.9,1164366802,1116759060,1112081577,1112951729,1160499125,1253967587,1267070040,1240926925,1285359871,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,San Marino,SMR,..,2022861392,2049412485,1905040917,1890105927,1876830381,1922950259,1970242834,1982111207,2008131796,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sao Tome and Principe,STP,..,..,632228844,652093321.6,683490274.3,728258430,756743091.4,788259677.4,818599653.5,842709606.4,853678512.2,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Saudi Arabia,SAU,6.71958E+11,8.66956E+11,1.32827E+12,1.40015E+12,1.43794E+12,1.49046E+12,1.55167E+12,1.57759E+12,1.56589E+12,1.60401E+12,1.60932E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Senegal,SEN,17280169046,23410073316,35283267486,37088851383,38135537953,40657631795,43246320959,45995086774,49402166473,52553805637,55324017823,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Serbia,SRB,..,66679618531,1.07605E+11,1.06871E+11,1.09963E+11,1.08215E+11,1.10169E+11,1.13847E+11,1.1624E+11,1.21465E+11,1.26625E+11,..
